freq,psd_x,psd_y,psd_z,psd_xyz
127.9,3.236e+04,9.007e+02,1.615e+03,3.487e+04
129.2,2.897e+04,1.018e+03,1.400e+03,3.139e+04
130.4,2.563e+04,1.054e+03,1.103e+03,2.778e+04
131.6,2.379e+04,1.043e+03,1.036e+03,2.587e+04
132.8,1.471e+04,6.273e+02,6.944e+02,1.604e+04
134.0,2.330e+03,1.402e+02,2.888e+02,2.759e+03
135.3,9.172e+02,1.056e+02,2.361e+02,1.259e+03
136.5,9.019e+02,9.106e+01,2.419e+02,1.235e+03
137.7,9.068e+02,8.583e+01,2.572e+02,1.250e+03
138.9,8.402e+02,9.298e+01,2.622e+02,1.195e+03
140.1,7.265e+02,9.086e+01,2.270e+02,1.044e+03
141.3,6.211e+02,9.061e+01,2.290e+02,9.408e+02
142.6,5.470e+02,9.763e+01,2.287e+02,8.733e+02
143.8,4.324e+02,9.740e+01,2.379e+02,7.677e+02
145.0,4.027e+02,9.024e+01,2.453e+02,7.383e+02
146.2,4.510e+02,8.956e+01,2.542e+02,7.948e+02
147.4,4.579e+02,9.493e+01,2.534e+02,8.062e+02
148.7,5.486e+02,9.846e+01,2.640e+02,9.110e+02
149.9,5.106e+02,1.044e+02,2.910e+02,9.060e+02
151.1,4.495e+02,9.349e+01,2.925e+02,8.355e+02
152.3,4.069e+02,9.472e+01,2.910e+02,7.926e+02
153.5,3.720e+02,1.031e+02,2.694e+02,7.445e+02
154.7,3.538e+02,1.094e+02,2.596e+02,7.229e+02
156.0,3.684e+02,1.118e+02,2.601e+02,7.403e+02
157.2,4.019e+02,1.070e+02,2.836e+02,7.924e+02
158.4,4.329e+02,1.150e+02,3.338e+02,8.817e+02
159.6,4.583e+02,1.245e+02,3.678e+02,9.505e+02
160.8,5.279e+02,1.102e+02,4.034e+02,1.041e+03
162.1,6.756e+02,1.022e+02,4.249e+02,1.203e+03
163.3,7.606e+02,1.007e+02,4.146e+02,1.276e+03
164.5,9.089e+02,1.012e+02,4.207e+02,1.431e+03
165.7,9.944e+02,1.085e+02,4.202e+02,1.523e+03
166.9,1.169e+03,1.122e+02,4.857e+02,1.766e+03
168.2,1.241e+03,1.165e+02,4.772e+02,1.835e+03
169.4,1.408e+03,1.113e+02,4.974e+02,2.017e+03
170.6,1.512e+03,9.688e+01,4.423e+02,2.051e+03
171.8,1.610e+03,9.539e+01,4.325e+02,2.137e+03
173.0,1.831e+03,1.041e+02,4.692e+02,2.404e+03
174.2,1.853e+03,1.076e+02,4.763e+02,2.437e+03
175.5,2.000e+03,1.130e+02,4.963e+02,2.610e+03
176.7,2.024e+03,1.130e+02,5.016e+02,2.638e+03
177.9,2.078e+03,1.212e+02,5.172e+02,2.716e+03
179.1,2.270e+03,1.173e+02,5.281e+02,2.915e+03
180.3,2.231e+03,1.118e+02,5.398e+02,2.882e+03
181.6,2.550e+03,1.183e+02,5.577e+02,3.226e+03
182.8,2.541e+03,1.187e+02,5.167e+02,3.176e+03
184.0,2.807e+03,1.197e+02,5.269e+02,3.454e+03
185.2,2.904e+03,1.186e+02,5.165e+02,3.539e+03
186.4,2.774e+03,1.143e+02,5.200e+02,3.409e+03
187.6,3.090e+03,1.111e+02,5.304e+02,3.731e+03
188.9,2.752e+03,1.116e+02,4.921e+02,3.355e+03
190.1,2.721e+03,1.293e+02,4.830e+02,3.333e+03
191.3,2.905e+03,1.438e+02,4.993e+02,3.548e+03
192.5,3.084e+03,1.277e+02,5.750e+02,3.787e+03
193.7,3.598e+03,1.194e+02,7.328e+02,4.450e+03
195.0,3.645e+03,1.203e+02,8.526e+02,4.618e+03
196.2,3.810e+03,1.352e+02,1.014e+03,4.959e+03
197.4,3.630e+03,1.316e+02,9.987e+02,4.760e+03
198.6,3.611e+03,1.448e+02,1.536e+03,5.292e+03
199.8,3.030e+03,2.038e+02,2.242e+03,5.476e+03
