freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.489e+01,4.166e+01,1.825e+02,2.590e+02
1.2,1.581e+02,1.191e+02,2.546e+02,5.319e+02
2.4,1.620e+02,1.302e+02,2.254e+02,5.176e+02
3.7,1.430e+02,1.275e+02,2.634e+02,5.339e+02
4.9,2.030e+02,1.245e+02,5.752e+02,9.027e+02
6.1,2.593e+02,1.623e+02,9.679e+02,1.390e+03
7.3,1.788e+02,1.744e+02,1.492e+03,1.845e+03
8.5,1.592e+02,1.441e+02,2.154e+03,2.457e+03
9.7,1.570e+02,1.403e+02,2.696e+03,2.993e+03
11.0,1.832e+02,1.360e+02,3.082e+03,3.401e+03
12.2,1.761e+02,1.412e+02,3.662e+03,3.979e+03
13.4,2.021e+02,1.467e+02,4.528e+03,4.877e+03
14.6,2.014e+02,1.428e+02,5.408e+03,5.752e+03
15.8,2.114e+02,1.455e+02,6.419e+03,6.776e+03
17.1,2.364e+02,1.396e+02,7.550e+03,7.926e+03
18.3,3.051e+02,1.332e+02,8.696e+03,9.134e+03
19.5,3.239e+02,1.533e+02,1.012e+04,1.059e+04
20.7,3.715e+02,1.521e+02,1.146e+04,1.198e+04
21.9,4.394e+02,1.469e+02,1.256e+04,1.315e+04
23.1,4.712e+02,1.657e+02,1.355e+04,1.419e+04
24.4,5.427e+02,1.670e+02,1.464e+04,1.535e+04
25.6,6.401e+02,1.427e+02,1.567e+04,1.646e+04
26.8,7.839e+02,1.446e+02,1.806e+04,1.899e+04
28.0,9.014e+02,1.455e+02,1.952e+04,2.056e+04
29.2,9.917e+02,1.742e+02,2.149e+04,2.265e+04
30.5,1.146e+03,2.311e+02,2.468e+04,2.605e+04
31.7,1.124e+03,3.161e+02,2.704e+04,2.848e+04
32.9,8.133e+02,3.359e+02,2.804e+04,2.919e+04
34.1,5.597e+02,2.402e+02,2.822e+04,2.902e+04
35.3,6.953e+02,1.896e+02,3.070e+04,3.159e+04
36.5,8.961e+02,1.688e+02,3.519e+04,3.626e+04
37.8,1.102e+03,1.609e+02,3.968e+04,4.095e+04
39.0,1.407e+03,2.052e+02,4.409e+04,4.570e+04
40.2,1.605e+03,2.516e+02,4.759e+04,4.944e+04
41.4,1.729e+03,2.391e+02,4.964e+04,5.161e+04
42.6,1.979e+03,2.114e+02,5.503e+04,5.722e+04
43.9,2.393e+03,2.117e+02,6.423e+04,6.683e+04
45.1,2.756e+03,2.174e+02,7.676e+04,7.973e+04
46.3,3.160e+03,2.516e+02,9.063e+04,9.404e+04
47.5,3.322e+03,3.473e+02,1.070e+05,1.107e+05
48.7,3.490e+03,4.753e+02,1.272e+05,1.312e+05
49.9,4.130e+03,6.121e+02,1.528e+05,1.575e+05
51.2,5.065e+03,7.959e+02,1.784e+05,1.842e+05
52.4,5.817e+03,1.171e+03,1.926e+05,1.996e+05
53.6,7.085e+03,2.279e+03,2.197e+05,2.290e+05
54.8,1.158e+04,7.372e+03,3.591e+05,3.780e+05
56.0,1.896e+04,3.085e+04,6.148e+05,6.646e+05
57.3,2.113e+04,8.451e+04,7.923e+05,8.980e+05
58.5,1.111e+04,1.244e+05,6.145e+05,7.500e+05
59.7,4.582e+03,1.285e+05,4.310e+05,5.640e+05
60.9,4.694e+03,1.135e+05,4.709e+05,5.890e+05
62.1,5.192e+03,6.826e+04,5.096e+05,5.831e+05
63.3,3.143e+03,1.978e+04,2.982e+05,3.212e+05
64.6,2.896e+03,6.418e+03,1.830e+05,1.923e+05
65.8,2.434e+03,2.303e+03,8.052e+04,8.526e+04
67.0,5.584e+03,8.910e+02,7.206e+04,7.854e+04
68.2,2.408e+04,1.094e+03,1.393e+05,1.645e+05
69.4,4.981e+04,2.085e+03,2.028e+05,2.547e+05
70.7,4.866e+04,4.389e+03,1.822e+05,2.352e+05
71.9,2.683e+04,6.532e+03,1.288e+05,1.622e+05
73.1,1.153e+04,6.245e+03,8.110e+04,9.888e+04
74.3,6.009e+03,8.836e+03,3.844e+04,5.328e+04
75.5,1.262e+04,1.555e+04,1.571e+04,4.388e+04
76.8,2.331e+04,2.641e+04,2.852e+04,7.825e+04
78.0,4.036e+04,5.376e+04,1.034e+05,1.975e+05
79.2,6.187e+04,1.005e+05,2.477e+05,4.100e+05
80.4,5.743e+04,1.473e+05,3.887e+05,5.934e+05
81.6,3.875e+04,1.663e+05,4.297e+05,6.348e+05
82.8,2.487e+04,1.658e+05,3.900e+05,5.807e+05
84.1,1.544e+04,1.639e+05,3.258e+05,5.051e+05
85.3,9.075e+03,1.637e+05,2.568e+05,4.295e+05
86.5,4.964e+03,1.661e+05,1.923e+05,3.633e+05
87.7,3.109e+03,1.756e+05,1.430e+05,3.218e+05
88.9,3.496e+03,2.014e+05,1.044e+05,3.093e+05
90.2,7.894e+03,2.454e+05,7.389e+04,3.271e+05
91.4,1.557e+04,2.984e+05,5.478e+04,3.687e+05
92.6,1.631e+04,3.040e+05,5.313e+04,3.735e+05
93.8,1.100e+04,2.049e+05,8.087e+04,2.968e+05
95.0,6.032e+03,9.800e+04,1.158e+05,2.199e+05
96.2,3.035e+03,3.948e+04,8.578e+04,1.283e+05
97.5,1.558e+03,2.296e+04,5.573e+04,8.025e+04
98.7,9.498e+02,1.843e+04,5.667e+04,7.604e+04
99.9,7.421e+02,1.491e+04,6.445e+04,8.011e+04
101.1,6.445e+02,1.174e+04,6.930e+04,8.169e+04
102.3,7.256e+02,9.529e+03,6.966e+04,7.992e+04
103.6,7.203e+02,7.555e+03,6.685e+04,7.513e+04
104.8,8.569e+02,6.130e+03,6.269e+04,6.968e+04
106.0,1.074e+03,4.758e+03,5.550e+04,6.133e+04
107.2,1.225e+03,3.748e+03,4.819e+04,5.316e+04
108.4,1.749e+03,2.998e+03,4.500e+04,4.975e+04
109.6,1.981e+03,2.381e+03,4.406e+04,4.842e+04
110.9,1.072e+03,1.728e+03,3.257e+04,3.537e+04
112.1,7.527e+02,1.332e+03,2.562e+04,2.771e+04
113.3,7.708e+02,1.031e+03,2.084e+04,2.264e+04
114.5,1.246e+03,8.009e+02,1.791e+04,1.996e+04
115.7,1.851e+03,6.200e+02,1.655e+04,1.902e+04
117.0,1.265e+03,4.140e+02,1.478e+04,1.646e+04
118.2,8.934e+02,2.606e+02,1.304e+04,1.420e+04
119.4,9.907e+02,2.220e+02,1.196e+04,1.317e+04
120.6,9.016e+02,2.820e+02,1.199e+04,1.317e+04
121.8,9.150e+02,3.466e+02,9.980e+03,1.124e+04
123.0,7.396e+02,2.591e+02,9.383e+03,1.038e+04
124.3,7.256e+02,2.347e+02,8.483e+03,9.443e+03
125.5,6.417e+02,2.211e+02,7.407e+03,8.270e+03
126.7,7.279e+02,2.112e+02,6.829e+03,7.769e+03
127.9,1.004e+03,2.247e+02,5.835e+03,7.064e+03
129.1,9.452e+02,1.852e+02,4.980e+03,6.110e+03
130.4,8.533e+02,1.764e+02,5.164e+03,6.193e+03
131.6,7.940e+02,1.971e+02,4.763e+03,5.754e+03
132.8,5.829e+02,1.894e+02,3.221e+03,3.993e+03
134.0,3.591e+02,1.532e+02,1.546e+03,2.058e+03
135.2,3.807e+02,1.703e+02,1.454e+03,2.005e+03
136.4,5.171e+02,1.921e+02,1.703e+03,2.412e+03
137.7,6.207e+02,2.129e+02,1.996e+03,2.829e+03
138.9,7.198e+02,2.171e+02,2.032e+03,2.969e+03
140.1,6.802e+02,2.385e+02,1.851e+03,2.769e+03
141.3,4.935e+02,2.346e+02,1.717e+03,2.445e+03
142.5,4.102e+02,2.056e+02,1.462e+03,2.078e+03
143.8,3.461e+02,1.701e+02,1.392e+03,1.909e+03
145.0,3.346e+02,1.451e+02,1.233e+03,1.713e+03
146.2,3.206e+02,1.350e+02,1.083e+03,1.539e+03
147.4,3.068e+02,1.403e+02,9.623e+02,1.409e+03
148.6,3.046e+02,1.401e+02,9.211e+02,1.366e+03
149.8,3.508e+02,1.438e+02,9.249e+02,1.420e+03
151.1,4.131e+02,1.516e+02,9.082e+02,1.473e+03
152.3,4.076e+02,1.567e+02,9.713e+02,1.536e+03
153.5,3.957e+02,1.488e+02,9.572e+02,1.502e+03
154.7,4.190e+02,1.665e+02,1.008e+03,1.594e+03
155.9,4.993e+02,1.840e+02,1.041e+03,1.725e+03
157.2,5.741e+02,1.989e+02,1.084e+03,1.857e+03
158.4,6.584e+02,1.910e+02,1.147e+03,1.996e+03
159.6,6.271e+02,2.274e+02,1.180e+03,2.034e+03
160.8,5.911e+02,1.990e+02,1.132e+03,1.922e+03
162.0,6.902e+02,1.779e+02,1.387e+03,2.255e+03
163.2,6.555e+02,1.675e+02,1.382e+03,2.205e+03
164.5,5.340e+02,1.701e+02,1.344e+03,2.048e+03
165.7,4.991e+02,1.621e+02,1.381e+03,2.042e+03
166.9,4.790e+02,1.673e+02,1.389e+03,2.036e+03
168.1,4.269e+02,1.656e+02,1.244e+03,1.837e+03
169.3,3.759e+02,1.753e+02,1.014e+03,1.566e+03
170.6,3.341e+02,1.850e+02,8.372e+02,1.356e+03
171.8,2.809e+02,1.576e+02,7.483e+02,1.187e+03
173.0,2.529e+02,1.438e+02,6.725e+02,1.069e+03
174.2,2.692e+02,1.532e+02,7.847e+02,1.207e+03
175.4,2.680e+02,1.585e+02,9.282e+02,1.355e+03
176.6,2.780e+02,1.670e+02,1.044e+03,1.489e+03
177.9,3.407e+02,1.539e+02,1.018e+03,1.513e+03
179.1,3.072e+02,1.489e+02,1.038e+03,1.494e+03
