freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.070e+02,1.820e+01,3.227e+01,1.575e+02
1.2,1.654e+02,8.542e+01,1.285e+02,3.794e+02
2.4,1.408e+02,1.063e+02,1.457e+02,3.928e+02
3.7,1.668e+02,1.033e+02,1.698e+02,4.398e+02
4.9,8.228e+02,1.171e+02,2.021e+02,1.142e+03
6.1,2.276e+03,1.342e+02,2.918e+02,2.702e+03
7.3,2.206e+03,1.200e+02,2.423e+02,2.568e+03
8.5,2.280e+03,1.004e+02,2.013e+02,2.582e+03
9.7,2.858e+03,1.046e+02,1.806e+02,3.143e+03
11.0,3.616e+03,1.094e+02,1.824e+02,3.908e+03
12.2,4.339e+03,1.090e+02,1.874e+02,4.635e+03
13.4,5.163e+03,1.197e+02,1.847e+02,5.467e+03
14.6,6.122e+03,1.314e+02,1.848e+02,6.439e+03
15.8,7.085e+03,1.593e+02,1.820e+02,7.426e+03
17.1,8.128e+03,1.639e+02,1.823e+02,8.474e+03
18.3,9.258e+03,1.430e+02,1.875e+02,9.589e+03
19.5,1.041e+04,1.299e+02,2.112e+02,1.076e+04
20.7,1.167e+04,1.189e+02,2.176e+02,1.200e+04
21.9,1.296e+04,1.138e+02,1.880e+02,1.326e+04
23.1,1.478e+04,1.131e+02,1.883e+02,1.508e+04
24.4,1.633e+04,1.204e+02,1.982e+02,1.665e+04
25.6,1.765e+04,1.302e+02,2.041e+02,1.798e+04
26.8,1.930e+04,1.236e+02,1.946e+02,1.962e+04
28.0,2.024e+04,1.273e+02,1.987e+02,2.057e+04
29.2,2.193e+04,1.395e+02,2.125e+02,2.228e+04
30.5,2.679e+04,1.393e+02,2.094e+02,2.714e+04
31.7,3.630e+04,1.450e+02,2.013e+02,3.665e+04
32.9,2.721e+04,1.861e+02,2.208e+02,2.762e+04
34.1,1.531e+04,2.236e+02,2.171e+02,1.575e+04
35.3,1.957e+04,2.442e+02,2.089e+02,2.003e+04
36.5,2.378e+04,2.821e+02,2.123e+02,2.427e+04
37.8,2.725e+04,2.833e+02,2.206e+02,2.776e+04
39.0,3.068e+04,2.761e+02,2.159e+02,3.117e+04
40.2,3.266e+04,2.656e+02,2.133e+02,3.314e+04
41.4,3.387e+04,2.484e+02,2.283e+02,3.434e+04
42.6,3.765e+04,2.411e+02,2.317e+02,3.812e+04
43.9,4.207e+04,2.408e+02,2.152e+02,4.253e+04
45.1,4.599e+04,2.722e+02,2.104e+02,4.647e+04
46.3,5.051e+04,3.040e+02,2.266e+02,5.104e+04
47.5,5.589e+04,3.508e+02,2.433e+02,5.648e+04
48.7,6.118e+04,3.895e+02,2.493e+02,6.182e+04
50.0,6.656e+04,4.771e+02,2.607e+02,6.730e+04
51.2,6.939e+04,5.417e+02,2.462e+02,7.018e+04
52.4,6.671e+04,5.968e+02,2.525e+02,6.756e+04
53.6,6.463e+04,6.207e+02,2.202e+02,6.547e+04
54.8,7.998e+04,7.767e+02,2.709e+02,8.103e+04
56.0,9.392e+04,1.063e+03,3.015e+02,9.529e+04
57.3,1.108e+05,1.638e+03,3.112e+02,1.128e+05
