freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.055e+01,2.856e+01,1.854e+02,2.345e+02
1.2,9.144e+01,1.245e+02,3.119e+02,5.279e+02
2.4,1.015e+02,1.368e+02,2.606e+02,4.989e+02
3.7,9.410e+01,1.392e+02,3.073e+02,5.406e+02
4.9,1.316e+02,1.480e+02,1.009e+03,1.289e+03
6.1,2.282e+02,1.555e+02,1.566e+03,1.950e+03
7.3,2.167e+02,1.768e+02,1.445e+03,1.839e+03
8.5,1.973e+02,1.754e+02,1.887e+03,2.260e+03
9.7,1.570e+02,1.538e+02,2.581e+03,2.891e+03
11.0,1.123e+02,1.513e+02,3.303e+03,3.566e+03
12.2,1.073e+02,1.406e+02,4.048e+03,4.296e+03
13.4,1.027e+02,1.430e+02,4.946e+03,5.192e+03
14.6,1.025e+02,1.367e+02,5.808e+03,6.047e+03
15.8,1.049e+02,1.713e+02,6.604e+03,6.880e+03
17.1,1.041e+02,1.737e+02,8.103e+03,8.381e+03
18.3,1.008e+02,1.388e+02,1.007e+04,1.031e+04
19.5,9.867e+01,1.415e+02,1.144e+04,1.168e+04
20.7,1.009e+02,1.434e+02,1.293e+04,1.317e+04
21.9,1.053e+02,1.286e+02,1.438e+04,1.461e+04
23.1,1.162e+02,1.292e+02,1.602e+04,1.627e+04
24.4,1.159e+02,1.309e+02,1.729e+04,1.754e+04
25.6,1.167e+02,1.280e+02,1.901e+04,1.926e+04
26.8,1.064e+02,1.294e+02,2.216e+04,2.240e+04
28.0,1.038e+02,1.349e+02,2.457e+04,2.481e+04
29.2,1.111e+02,1.304e+02,2.656e+04,2.680e+04
30.5,1.175e+02,1.500e+02,3.043e+04,3.069e+04
31.7,1.461e+02,1.520e+02,3.368e+04,3.398e+04
32.9,1.373e+02,2.029e+02,3.650e+04,3.684e+04
34.1,1.306e+02,2.982e+02,3.842e+04,3.885e+04
35.3,1.475e+02,3.751e+02,4.488e+04,4.540e+04
36.5,1.622e+02,4.366e+02,5.474e+04,5.534e+04
37.8,1.661e+02,6.163e+02,6.605e+04,6.683e+04
39.0,1.502e+02,8.274e+02,6.542e+04,6.640e+04
40.2,1.427e+02,7.650e+02,5.165e+04,5.256e+04
41.4,1.620e+02,6.015e+02,4.487e+04,4.563e+04
42.6,1.782e+02,5.440e+02,5.241e+04,5.314e+04
43.9,2.178e+02,5.906e+02,6.607e+04,6.687e+04
45.1,2.305e+02,6.800e+02,8.154e+04,8.245e+04
46.3,2.678e+02,7.825e+02,1.037e+05,1.048e+05
47.5,3.519e+02,1.055e+03,1.346e+05,1.360e+05
48.7,4.508e+02,1.542e+03,1.727e+05,1.747e+05
50.0,6.094e+02,2.452e+03,2.201e+05,2.232e+05
51.2,7.533e+02,4.137e+03,2.642e+05,2.691e+05
52.4,8.668e+02,6.716e+03,2.776e+05,2.852e+05
53.6,8.956e+02,1.366e+04,2.828e+05,2.973e+05
54.8,1.060e+03,2.842e+04,3.274e+05,3.569e+05
56.0,1.188e+03,3.871e+04,3.626e+05,4.025e+05
57.3,1.043e+03,4.900e+04,3.721e+05,4.221e+05
58.5,8.216e+02,6.064e+04,3.812e+05,4.426e+05
59.7,6.710e+02,6.783e+04,4.065e+05,4.750e+05
60.9,7.257e+02,6.293e+04,4.163e+05,4.800e+05
62.1,1.080e+03,4.543e+04,3.514e+05,3.979e+05
63.4,2.980e+03,2.560e+04,2.269e+05,2.554e+05
64.6,7.926e+03,1.065e+04,1.165e+05,1.350e+05
65.8,1.155e+04,3.839e+03,6.596e+04,8.136e+04
67.0,8.407e+03,2.180e+03,3.944e+04,5.002e+04
68.2,5.720e+03,3.369e+03,3.189e+04,4.098e+04
69.4,3.277e+03,5.178e+03,2.938e+04,3.784e+04
70.7,1.018e+03,5.376e+03,1.911e+04,2.550e+04
71.9,1.011e+03,4.399e+03,9.749e+03,1.516e+04
73.1,1.493e+03,4.039e+03,7.601e+03,1.313e+04
74.3,2.094e+03,4.110e+03,1.163e+04,1.783e+04
75.5,4.668e+03,5.158e+03,2.465e+04,3.447e+04
76.8,9.580e+03,8.591e+03,5.105e+04,6.922e+04
78.0,1.164e+04,1.215e+04,1.071e+05,1.309e+05
79.2,1.058e+04,1.119e+04,1.676e+05,1.894e+05
80.4,9.590e+03,1.505e+04,1.559e+05,1.805e+05
81.6,8.792e+03,3.750e+04,1.069e+05,1.532e+05
82.8,6.639e+03,7.265e+04,9.882e+04,1.781e+05
84.1,3.453e+03,9.031e+04,1.495e+05,2.433e+05
85.3,1.332e+03,8.454e+04,1.886e+05,2.745e+05
86.5,4.451e+02,6.147e+04,1.745e+05,2.364e+05
87.7,3.637e+02,3.379e+04,1.409e+05,1.751e+05
88.9,2.436e+03,1.775e+04,1.208e+05,1.410e+05
90.2,1.268e+04,1.309e+04,1.061e+05,1.318e+05
91.4,1.679e+04,9.287e+03,8.102e+04,1.071e+05
92.6,3.380e+03,4.502e+03,5.430e+04,6.218e+04
93.8,3.573e+02,3.160e+03,3.854e+04,4.206e+04
95.0,3.096e+02,2.244e+03,2.715e+04,2.970e+04
96.2,5.682e+02,1.693e+03,2.192e+04,2.419e+04
97.5,6.124e+02,1.592e+03,2.102e+04,2.322e+04
98.7,4.936e+02,1.739e+03,1.942e+04,2.165e+04
99.9,4.555e+02,1.754e+03,1.576e+04,1.797e+04
101.1,6.136e+02,1.530e+03,1.250e+04,1.465e+04
102.3,7.611e+02,1.581e+03,1.044e+04,1.278e+04
103.6,8.818e+02,1.746e+03,9.087e+03,1.171e+04
104.8,9.652e+02,1.990e+03,8.770e+03,1.172e+04
106.0,1.163e+03,2.573e+03,8.832e+03,1.257e+04
107.2,1.491e+03,3.061e+03,7.990e+03,1.254e+04
108.4,1.969e+03,3.085e+03,8.128e+03,1.318e+04
109.6,2.099e+03,2.641e+03,9.892e+03,1.463e+04
110.9,2.064e+03,1.985e+03,1.327e+04,1.732e+04
112.1,1.861e+03,1.442e+03,1.535e+04,1.865e+04
113.3,1.597e+03,1.003e+03,1.582e+04,1.842e+04
114.5,1.696e+03,7.898e+02,1.965e+04,2.214e+04
115.7,1.674e+03,6.361e+02,2.154e+04,2.385e+04
117.0,1.255e+03,4.318e+02,1.777e+04,1.945e+04
118.2,9.550e+02,2.881e+02,1.287e+04,1.411e+04
119.4,8.775e+02,2.229e+02,1.060e+04,1.170e+04
120.6,8.638e+02,1.981e+02,9.614e+03,1.068e+04
121.8,6.822e+02,1.844e+02,7.435e+03,8.301e+03
123.0,5.377e+02,1.762e+02,6.439e+03,7.153e+03
124.3,4.963e+02,1.569e+02,5.652e+03,6.305e+03
125.5,4.258e+02,1.531e+02,5.006e+03,5.585e+03
126.7,3.958e+02,1.777e+02,4.343e+03,4.916e+03
127.9,3.607e+02,1.988e+02,3.791e+03,4.350e+03
129.1,3.149e+02,2.079e+02,3.332e+03,3.854e+03
130.4,2.908e+02,2.362e+02,2.978e+03,3.505e+03
131.6,2.989e+02,3.021e+02,2.592e+03,3.193e+03
132.8,2.543e+02,3.013e+02,1.706e+03,2.262e+03
134.0,1.782e+02,2.054e+02,8.318e+02,1.215e+03
135.2,1.891e+02,2.464e+02,7.312e+02,1.167e+03
136.4,1.833e+02,2.331e+02,5.355e+02,9.520e+02
137.7,1.937e+02,1.945e+02,5.136e+02,9.019e+02
138.9,2.104e+02,1.523e+02,5.085e+02,8.711e+02
140.1,2.552e+02,1.466e+02,5.214e+02,9.231e+02
141.3,3.030e+02,1.519e+02,5.283e+02,9.832e+02
142.5,3.882e+02,1.509e+02,6.161e+02,1.155e+03
143.8,4.037e+02,1.465e+02,7.528e+02,1.303e+03
145.0,3.548e+02,1.407e+02,6.869e+02,1.182e+03
146.2,2.872e+02,1.227e+02,6.831e+02,1.093e+03
147.4,2.539e+02,1.101e+02,6.589e+02,1.023e+03
148.6,2.202e+02,1.191e+02,6.274e+02,9.667e+02
149.9,1.676e+02,1.187e+02,6.218e+02,9.081e+02
151.1,1.450e+02,1.281e+02,6.334e+02,9.064e+02
152.3,1.470e+02,1.228e+02,6.899e+02,9.597e+02
153.5,1.508e+02,1.166e+02,7.904e+02,1.058e+03
154.7,1.277e+02,1.181e+02,9.103e+02,1.156e+03
155.9,1.081e+02,1.332e+02,8.460e+02,1.087e+03
157.2,1.275e+02,1.281e+02,7.719e+02,1.027e+03
158.4,1.174e+02,1.257e+02,6.361e+02,8.792e+02
159.6,1.074e+02,1.157e+02,4.981e+02,7.211e+02
160.8,1.299e+02,1.311e+02,5.037e+02,7.646e+02
162.0,1.369e+02,1.509e+02,6.401e+02,9.279e+02
163.3,1.312e+02,1.566e+02,7.179e+02,1.006e+03
164.5,1.321e+02,1.468e+02,1.005e+03,1.284e+03
165.7,1.209e+02,1.618e+02,1.281e+03,1.564e+03
166.9,1.237e+02,1.750e+02,8.686e+02,1.167e+03
168.1,1.283e+02,1.536e+02,7.845e+02,1.066e+03
169.3,1.276e+02,1.537e+02,1.089e+03,1.370e+03
170.6,1.171e+02,1.450e+02,1.673e+03,1.935e+03
171.8,1.192e+02,1.570e+02,2.261e+03,2.537e+03
173.0,1.307e+02,1.588e+02,2.780e+03,3.069e+03
174.2,1.344e+02,1.439e+02,3.466e+03,3.744e+03
175.4,1.408e+02,1.379e+02,3.215e+03,3.494e+03
176.7,1.746e+02,1.471e+02,3.131e+03,3.453e+03
177.9,1.903e+02,1.691e+02,2.894e+03,3.254e+03
179.1,1.979e+02,1.618e+02,2.413e+03,2.773e+03
180.3,1.992e+02,1.628e+02,1.967e+03,2.329e+03
181.5,1.896e+02,1.746e+02,1.343e+03,1.707e+03
182.7,1.678e+02,1.971e+02,1.002e+03,1.366e+03
184.0,2.119e+02,2.123e+02,7.112e+02,1.135e+03
185.2,2.931e+02,2.708e+02,5.589e+02,1.123e+03
186.4,2.194e+02,2.921e+02,5.438e+02,1.055e+03
187.6,1.706e+02,2.767e+02,5.338e+02,9.811e+02
188.8,1.791e+02,2.776e+02,5.989e+02,1.056e+03
190.1,1.897e+02,2.575e+02,6.050e+02,1.052e+03
191.3,2.207e+02,2.210e+02,5.226e+02,9.642e+02
192.5,2.400e+02,2.265e+02,6.574e+02,1.124e+03
193.7,1.927e+02,1.964e+02,7.871e+02,1.176e+03
194.9,1.669e+02,1.997e+02,8.543e+02,1.221e+03
196.1,1.720e+02,1.705e+02,7.716e+02,1.114e+03
197.4,1.674e+02,1.709e+02,7.122e+02,1.051e+03
198.6,1.860e+02,2.373e+02,7.817e+02,1.205e+03
