freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.007e+02,2.136e+01,5.228e+01,1.743e+02
1.2,1.799e+02,1.122e+02,2.522e+02,5.443e+02
2.4,1.563e+02,1.322e+02,2.689e+02,5.575e+02
3.7,1.606e+02,1.276e+02,3.054e+02,5.936e+02
4.9,6.537e+02,1.390e+02,3.382e+02,1.131e+03
6.1,1.606e+03,1.393e+02,3.726e+02,2.118e+03
7.3,1.873e+03,1.399e+02,3.780e+02,2.391e+03
8.5,2.408e+03,1.467e+02,3.415e+02,2.896e+03
9.7,3.045e+03,1.458e+02,3.600e+02,3.551e+03
11.0,3.766e+03,1.354e+02,3.606e+02,4.263e+03
12.2,4.813e+03,1.492e+02,3.798e+02,5.342e+03
13.4,5.758e+03,1.635e+02,4.031e+02,6.324e+03
14.6,6.854e+03,1.702e+02,3.795e+02,7.404e+03
15.8,7.894e+03,1.621e+02,3.593e+02,8.415e+03
17.1,8.829e+03,1.602e+02,3.441e+02,9.333e+03
18.3,9.933e+03,1.623e+02,3.479e+02,1.044e+04
19.5,1.097e+04,1.601e+02,3.505e+02,1.148e+04
20.7,1.219e+04,1.508e+02,3.215e+02,1.266e+04
21.9,1.357e+04,1.595e+02,3.139e+02,1.404e+04
23.2,1.534e+04,1.617e+02,3.065e+02,1.581e+04
24.4,1.717e+04,1.391e+02,2.708e+02,1.758e+04
25.6,1.861e+04,1.341e+02,2.720e+02,1.902e+04
26.8,2.007e+04,1.526e+02,2.766e+02,2.050e+04
28.0,2.104e+04,1.476e+02,2.599e+02,2.145e+04
29.2,2.235e+04,1.571e+02,2.338e+02,2.274e+04
30.5,2.623e+04,3.291e+02,2.222e+02,2.678e+04
31.7,2.742e+04,7.612e+02,2.367e+02,2.841e+04
32.9,1.961e+04,6.389e+02,2.406e+02,2.049e+04
34.1,1.711e+04,2.144e+02,2.287e+02,1.755e+04
35.3,2.084e+04,1.832e+02,2.260e+02,2.125e+04
36.6,2.408e+04,2.157e+02,2.397e+02,2.453e+04
37.8,2.662e+04,2.422e+02,2.336e+02,2.709e+04
39.0,2.951e+04,2.622e+02,2.197e+02,2.999e+04
40.2,3.155e+04,2.651e+02,1.924e+02,3.201e+04
41.4,3.273e+04,2.474e+02,1.915e+02,3.317e+04
42.6,3.551e+04,2.604e+02,2.103e+02,3.598e+04
43.9,3.890e+04,2.940e+02,2.120e+02,3.940e+04
45.1,4.247e+04,3.380e+02,2.127e+02,4.303e+04
46.3,4.570e+04,3.788e+02,2.001e+02,4.628e+04
47.5,4.905e+04,4.587e+02,2.281e+02,4.973e+04
48.7,5.370e+04,5.154e+02,2.682e+02,5.449e+04
50.0,5.755e+04,4.925e+02,2.482e+02,5.829e+04
51.2,5.899e+04,4.917e+02,2.296e+02,5.971e+04
52.4,5.544e+04,5.382e+02,2.129e+02,5.619e+04
53.6,5.006e+04,5.817e+02,2.251e+02,5.087e+04
54.8,6.027e+04,8.553e+02,2.344e+02,6.136e+04
56.1,6.878e+04,1.355e+03,2.373e+02,7.037e+04
57.3,7.722e+04,2.373e+03,3.043e+02,7.990e+04
58.5,8.504e+04,3.492e+03,4.455e+02,8.897e+04
59.7,9.170e+04,2.462e+03,4.451e+02,9.460e+04
60.9,9.596e+04,1.336e+03,6.956e+02,9.799e+04
62.1,1.053e+05,2.509e+03,3.457e+03,1.113e+05
63.4,1.372e+05,4.745e+03,1.270e+04,1.546e+05
64.6,1.849e+05,3.876e+03,1.734e+04,2.062e+05
65.8,2.263e+05,2.119e+03,7.851e+03,2.363e+05
67.0,2.485e+05,1.929e+03,2.076e+03,2.525e+05
68.2,2.283e+05,2.287e+03,3.375e+03,2.340e+05
69.5,1.702e+05,1.874e+03,6.323e+03,1.784e+05
70.7,1.264e+05,1.032e+03,7.912e+03,1.354e+05
71.9,1.173e+05,4.483e+02,6.647e+03,1.244e+05
73.1,1.163e+05,6.141e+02,4.419e+03,1.214e+05
74.3,1.189e+05,1.606e+03,3.431e+03,1.240e+05
75.5,1.490e+05,4.157e+03,3.636e+03,1.568e+05
76.8,1.601e+05,7.225e+03,4.513e+03,1.718e+05
78.0,9.881e+04,6.958e+03,5.232e+03,1.110e+05
79.2,3.686e+04,5.405e+03,6.102e+03,4.837e+04
80.4,1.463e+04,6.700e+03,8.608e+03,2.994e+04
81.6,1.102e+04,1.025e+04,8.299e+03,2.957e+04
82.9,8.276e+03,1.135e+04,4.896e+03,2.452e+04
84.1,3.859e+03,1.293e+04,6.811e+03,2.360e+04
85.3,1.532e+03,1.721e+04,1.395e+04,3.270e+04
86.5,1.395e+03,1.716e+04,1.644e+04,3.500e+04
87.7,3.360e+03,1.112e+04,1.174e+04,2.622e+04
88.9,6.397e+03,6.068e+03,1.090e+04,2.337e+04
90.2,1.228e+04,3.938e+03,1.286e+04,2.908e+04
91.4,2.363e+04,4.429e+03,1.235e+04,4.040e+04
92.6,1.654e+04,3.504e+03,8.572e+03,2.861e+04
93.8,6.929e+03,1.504e+03,4.610e+03,1.304e+04
95.0,4.201e+03,7.563e+02,1.764e+03,6.722e+03
96.3,4.924e+03,7.011e+02,1.203e+03,6.828e+03
97.5,5.142e+03,6.061e+02,1.658e+03,7.406e+03
98.7,4.054e+03,4.952e+02,1.331e+03,5.880e+03
99.9,3.057e+03,3.434e+02,7.718e+02,4.172e+03
101.1,1.965e+03,1.975e+02,6.400e+02,2.803e+03
102.4,1.196e+03,1.622e+02,5.581e+02,1.916e+03
103.6,9.378e+02,1.521e+02,5.934e+02,1.683e+03
104.8,9.614e+02,2.748e+02,9.067e+02,2.143e+03
106.0,1.042e+03,4.930e+02,1.407e+03,2.942e+03
107.2,1.157e+03,5.476e+02,1.418e+03,3.123e+03
108.4,1.327e+03,4.632e+02,1.091e+03,2.882e+03
109.7,1.732e+03,3.246e+02,7.816e+02,2.838e+03
110.9,2.197e+03,2.646e+02,5.626e+02,3.024e+03
112.1,2.618e+03,2.889e+02,5.133e+02,3.420e+03
113.3,2.900e+03,3.304e+02,7.731e+02,4.003e+03
114.5,2.794e+03,3.865e+02,1.677e+03,4.857e+03
115.8,3.223e+03,3.717e+02,2.044e+03,5.639e+03
117.0,3.723e+03,2.971e+02,1.813e+03,5.833e+03
118.2,3.743e+03,2.715e+02,1.366e+03,5.381e+03
119.4,4.299e+03,2.777e+02,1.022e+03,5.598e+03
120.6,4.298e+03,2.816e+02,9.160e+02,5.495e+03
121.8,4.162e+03,2.632e+02,8.058e+02,5.231e+03
123.1,4.850e+03,2.277e+02,7.606e+02,5.839e+03
124.3,5.582e+03,2.214e+02,7.718e+02,6.575e+03
125.5,6.648e+03,2.127e+02,7.882e+02,7.649e+03
126.7,7.071e+03,1.918e+02,7.180e+02,7.981e+03
127.9,7.657e+03,1.796e+02,6.597e+02,8.496e+03
129.2,8.022e+03,1.756e+02,6.187e+02,8.816e+03
130.4,8.174e+03,1.778e+02,5.946e+02,8.947e+03
131.6,8.256e+03,1.886e+02,5.543e+02,8.999e+03
132.8,5.868e+03,1.646e+02,4.096e+02,6.442e+03
134.0,1.922e+03,1.511e+02,2.414e+02,2.314e+03
135.3,1.185e+03,1.475e+02,2.375e+02,1.570e+03
136.5,1.039e+03,1.542e+02,2.387e+02,1.432e+03
137.7,8.669e+02,1.454e+02,2.317e+02,1.244e+03
138.9,6.986e+02,1.309e+02,2.335e+02,1.063e+03
140.1,5.881e+02,1.185e+02,2.256e+02,9.322e+02
141.3,4.524e+02,1.185e+02,2.264e+02,7.972e+02
142.6,3.186e+02,1.199e+02,2.387e+02,6.772e+02
143.8,2.742e+02,1.181e+02,2.273e+02,6.196e+02
145.0,2.501e+02,1.296e+02,2.136e+02,5.933e+02
146.2,2.430e+02,1.525e+02,2.442e+02,6.397e+02
147.4,2.277e+02,1.521e+02,2.677e+02,6.476e+02
148.7,2.063e+02,1.430e+02,2.273e+02,5.766e+02
149.9,2.708e+02,1.378e+02,2.452e+02,6.538e+02
151.1,3.627e+02,1.363e+02,2.570e+02,7.561e+02
152.3,4.955e+02,1.337e+02,2.300e+02,8.593e+02
153.5,6.533e+02,1.370e+02,2.447e+02,1.035e+03
154.7,8.225e+02,1.359e+02,2.782e+02,1.237e+03
156.0,9.571e+02,1.384e+02,2.950e+02,1.390e+03
157.2,1.111e+03,1.383e+02,2.862e+02,1.536e+03
158.4,1.171e+03,1.286e+02,2.882e+02,1.587e+03
159.6,1.046e+03,1.426e+02,2.845e+02,1.473e+03
160.8,9.379e+02,1.389e+02,2.775e+02,1.354e+03
162.1,9.936e+02,1.335e+02,2.714e+02,1.398e+03
163.3,8.970e+02,1.339e+02,2.539e+02,1.285e+03
164.5,7.938e+02,1.533e+02,2.556e+02,1.203e+03
165.7,6.009e+02,1.393e+02,2.597e+02,9.998e+02
166.9,4.915e+02,1.254e+02,2.473e+02,8.642e+02
168.2,3.916e+02,1.183e+02,2.321e+02,7.420e+02
169.4,2.762e+02,1.366e+02,2.394e+02,6.522e+02
170.6,2.406e+02,1.227e+02,2.578e+02,6.211e+02
171.8,2.135e+02,1.264e+02,2.519e+02,5.917e+02
173.0,2.070e+02,1.430e+02,2.420e+02,5.919e+02
174.2,1.912e+02,1.440e+02,2.279e+02,5.631e+02
175.5,1.847e+02,1.513e+02,2.553e+02,5.913e+02
176.7,1.952e+02,1.585e+02,2.367e+02,5.905e+02
177.9,2.063e+02,1.641e+02,2.181e+02,5.885e+02
179.1,2.238e+02,1.712e+02,2.189e+02,6.140e+02
180.3,2.520e+02,1.746e+02,2.116e+02,6.382e+02
181.6,2.903e+02,1.880e+02,2.285e+02,7.068e+02
182.8,3.409e+02,2.033e+02,2.131e+02,7.573e+02
184.0,4.626e+02,2.247e+02,2.408e+02,9.281e+02
