freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.123e+02,6.690e+01,3.396e+02,5.187e+02
1.2,4.295e+02,3.395e+02,1.140e+03,1.909e+03
2.4,4.205e+02,4.037e+02,1.190e+03,2.015e+03
3.6,4.351e+02,4.832e+02,1.172e+03,2.091e+03
4.8,4.432e+02,4.281e+02,1.739e+03,2.610e+03
6.0,5.426e+02,4.071e+02,2.358e+03,3.308e+03
7.2,4.865e+02,4.374e+02,2.652e+03,3.575e+03
8.4,4.430e+02,4.089e+02,3.570e+03,4.422e+03
9.6,4.024e+02,4.361e+02,4.070e+03,4.909e+03
10.8,3.861e+02,4.718e+02,5.383e+03,6.241e+03
12.0,4.340e+02,4.478e+02,6.712e+03,7.593e+03
13.2,4.898e+02,4.559e+02,7.920e+03,8.865e+03
14.4,4.906e+02,4.625e+02,1.015e+04,1.110e+04
15.6,4.888e+02,4.928e+02,1.196e+04,1.295e+04
16.8,4.761e+02,4.864e+02,1.464e+04,1.560e+04
18.0,5.207e+02,4.586e+02,1.611e+04,1.709e+04
19.2,6.248e+02,4.704e+02,2.153e+04,2.262e+04
20.4,6.225e+02,4.828e+02,2.751e+04,2.862e+04
21.6,6.578e+02,4.719e+02,2.936e+04,3.049e+04
22.8,8.060e+02,4.677e+02,3.049e+04,3.177e+04
24.0,9.225e+02,4.775e+02,3.724e+04,3.864e+04
25.2,1.092e+03,5.358e+02,4.640e+04,4.803e+04
26.4,2.094e+03,5.419e+02,6.369e+04,6.632e+04
27.6,3.764e+03,5.624e+02,7.226e+04,7.658e+04
28.8,7.918e+03,6.094e+02,8.364e+04,9.217e+04
30.0,1.424e+04,7.643e+02,1.200e+05,1.350e+05
31.2,2.084e+04,9.121e+02,1.315e+05,1.532e+05
32.5,2.423e+04,8.248e+02,9.917e+04,1.242e+05
33.7,2.060e+04,7.726e+02,6.875e+04,9.012e+04
34.9,2.714e+04,7.508e+02,7.808e+04,1.060e+05
36.1,3.595e+04,6.996e+02,9.091e+04,1.276e+05
37.3,3.142e+04,5.768e+02,7.587e+04,1.079e+05
38.5,2.619e+04,5.744e+02,6.704e+04,9.380e+04
39.7,2.583e+04,5.582e+02,8.036e+04,1.067e+05
40.9,2.652e+04,6.771e+02,8.079e+04,1.080e+05
42.1,2.724e+04,1.044e+03,8.104e+04,1.093e+05
43.3,2.595e+04,1.212e+03,9.337e+04,1.205e+05
44.5,3.075e+04,1.617e+03,1.484e+05,1.807e+05
