freq,psd_x,psd_y,psd_z,psd_xyz
154.8,2.788e+02,1.131e+02,5.593e+02,9.512e+02
156.0,2.989e+02,1.388e+02,6.516e+02,1.089e+03
157.2,3.237e+02,1.465e+02,7.681e+02,1.238e+03
158.4,3.467e+02,1.663e+02,8.485e+02,1.362e+03
159.6,3.669e+02,1.720e+02,1.002e+03,1.541e+03
160.9,3.865e+02,1.580e+02,1.116e+03,1.660e+03
162.1,4.723e+02,1.622e+02,1.382e+03,2.016e+03
163.3,5.251e+02,1.705e+02,1.583e+03,2.279e+03
164.5,5.348e+02,1.643e+02,1.470e+03,2.169e+03
165.7,5.495e+02,1.666e+02,1.463e+03,2.179e+03
166.9,5.437e+02,1.570e+02,1.473e+03,2.174e+03
168.2,5.053e+02,1.395e+02,1.458e+03,2.103e+03
169.4,4.822e+02,1.273e+02,1.222e+03,1.831e+03
170.6,4.046e+02,1.300e+02,8.991e+02,1.434e+03
171.8,3.606e+02,1.246e+02,8.557e+02,1.341e+03
173.0,3.000e+02,1.265e+02,6.804e+02,1.107e+03
174.3,2.632e+02,1.397e+02,6.069e+02,1.010e+03
175.5,2.197e+02,1.626e+02,5.772e+02,9.595e+02
176.7,1.959e+02,1.571e+02,4.798e+02,8.328e+02
177.9,1.818e+02,1.551e+02,4.251e+02,7.620e+02
179.1,1.746e+02,1.511e+02,3.879e+02,7.136e+02
180.3,1.623e+02,1.443e+02,5.415e+02,8.480e+02
181.6,1.427e+02,1.261e+02,7.206e+02,9.894e+02
182.8,1.287e+02,1.314e+02,7.881e+02,1.048e+03
184.0,1.498e+02,1.286e+02,9.590e+02,1.237e+03
185.2,1.605e+02,1.300e+02,1.086e+03,1.376e+03
186.4,1.794e+02,1.353e+02,1.183e+03,1.497e+03
187.7,1.682e+02,1.355e+02,9.073e+02,1.211e+03
188.9,1.674e+02,1.523e+02,8.943e+02,1.214e+03
190.1,1.796e+02,1.547e+02,9.120e+02,1.246e+03
191.3,1.690e+02,1.609e+02,9.052e+02,1.235e+03
192.5,1.786e+02,1.681e+02,7.176e+02,1.064e+03
193.8,1.607e+02,1.626e+02,5.463e+02,8.695e+02
195.0,1.712e+02,1.630e+02,5.924e+02,9.266e+02
196.2,1.752e+02,1.693e+02,7.891e+02,1.134e+03
197.4,1.611e+02,1.745e+02,1.118e+03,1.453e+03
198.6,1.624e+02,1.914e+02,1.527e+03,1.881e+03
199.8,1.754e+02,1.981e+02,1.708e+03,2.081e+03
