freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.573e+01,6.895e+01,1.326e+02,2.973e+02
1.2,3.642e+02,3.547e+02,6.589e+02,1.378e+03
2.4,3.981e+02,3.861e+02,8.149e+02,1.599e+03
3.6,3.881e+02,3.941e+02,9.209e+02,1.703e+03
4.8,8.290e+02,3.808e+02,9.542e+02,2.164e+03
6.0,1.641e+03,3.938e+02,1.084e+03,3.119e+03
7.2,1.751e+03,3.919e+02,1.115e+03,3.258e+03
8.4,2.262e+03,3.869e+02,1.083e+03,3.732e+03
9.7,2.650e+03,3.960e+02,1.070e+03,4.116e+03
10.9,3.151e+03,4.082e+02,1.202e+03,4.762e+03
12.1,3.482e+03,4.308e+02,1.194e+03,5.106e+03
13.3,3.649e+03,4.255e+02,1.419e+03,5.493e+03
14.5,4.366e+03,4.354e+02,1.657e+03,6.458e+03
15.7,5.185e+03,4.836e+02,1.708e+03,7.376e+03
16.9,5.272e+03,4.765e+02,1.865e+03,7.614e+03
18.1,5.614e+03,4.551e+02,2.418e+03,8.487e+03
19.3,6.427e+03,4.259e+02,2.765e+03,9.617e+03
20.5,6.341e+03,4.716e+02,3.459e+03,1.027e+04
21.7,6.969e+03,4.668e+02,3.757e+03,1.119e+04
22.9,7.107e+03,4.265e+02,3.589e+03,1.112e+04
24.1,6.537e+03,4.145e+02,4.580e+03,1.153e+04
25.3,5.479e+03,4.493e+02,6.290e+03,1.222e+04
26.6,4.160e+03,4.610e+02,7.051e+03,1.167e+04
27.8,4.294e+03,4.662e+02,1.120e+04,1.596e+04
29.0,5.329e+03,4.368e+02,1.452e+04,2.029e+04
30.2,5.478e+03,4.375e+02,1.741e+04,2.333e+04
31.4,4.885e+03,4.610e+02,1.832e+04,2.367e+04
32.6,6.716e+03,5.059e+02,1.732e+04,2.455e+04
33.8,7.808e+03,5.290e+02,1.646e+04,2.480e+04
35.0,1.149e+04,5.663e+02,1.946e+04,3.152e+04
36.2,1.438e+04,5.254e+02,1.788e+04,3.279e+04
37.4,1.482e+04,4.707e+02,1.317e+04,2.847e+04
38.6,1.410e+04,5.087e+02,1.040e+04,2.501e+04
39.8,2.183e+04,6.504e+02,1.092e+04,3.340e+04
41.0,2.656e+04,5.993e+02,8.082e+03,3.524e+04
42.2,2.720e+04,5.437e+02,6.606e+03,3.435e+04
43.4,3.864e+04,6.862e+02,8.084e+03,4.741e+04
44.7,4.015e+04,8.848e+02,1.004e+04,5.107e+04
45.9,6.132e+04,1.459e+03,1.621e+04,7.898e+04
47.1,5.393e+04,1.695e+03,1.542e+04,7.105e+04
48.3,4.060e+04,1.749e+03,1.232e+04,5.467e+04
49.5,3.360e+04,1.817e+03,1.102e+04,4.643e+04
50.7,2.349e+04,1.953e+03,7.605e+03,3.305e+04
51.9,1.761e+04,1.799e+03,5.816e+03,2.523e+04
53.1,1.050e+04,1.228e+03,4.118e+03,1.585e+04
54.3,1.126e+04,1.157e+03,6.067e+03,1.848e+04
55.5,1.635e+04,1.429e+03,9.060e+03,2.684e+04
56.7,2.384e+04,1.996e+03,9.835e+03,3.567e+04
57.9,2.163e+04,2.531e+03,8.147e+03,3.231e+04
59.1,2.263e+04,3.438e+03,7.423e+03,3.349e+04
60.3,2.064e+04,2.733e+03,5.873e+03,2.925e+04
61.6,2.717e+04,2.259e+03,7.899e+03,3.732e+04
62.8,3.645e+04,1.985e+03,1.419e+04,5.263e+04
64.0,4.366e+04,2.119e+03,2.244e+04,6.822e+04
65.2,3.619e+04,2.168e+03,1.832e+04,5.668e+04
66.4,2.689e+04,1.939e+03,9.997e+03,3.882e+04
67.6,2.174e+04,1.899e+03,6.659e+03,3.030e+04
68.8,1.639e+04,1.593e+03,5.607e+03,2.359e+04
70.0,1.349e+04,1.562e+03,5.259e+03,2.031e+04
71.2,8.976e+03,1.721e+03,3.809e+03,1.451e+04
72.4,5.182e+03,1.840e+03,2.687e+03,9.710e+03
73.6,3.506e+03,2.215e+03,2.016e+03,7.736e+03
74.8,2.388e+03,2.894e+03,1.754e+03,7.036e+03
76.0,2.084e+03,4.126e+03,2.083e+03,8.293e+03
77.2,2.317e+03,6.467e+03,2.441e+03,1.123e+04
78.4,1.992e+03,6.291e+03,2.562e+03,1.084e+04
79.7,1.610e+03,6.006e+03,3.472e+03,1.109e+04
80.9,1.221e+03,5.855e+03,4.967e+03,1.204e+04
82.1,1.170e+03,8.677e+03,6.279e+03,1.613e+04
83.3,1.739e+03,1.433e+04,8.037e+03,2.411e+04
84.5,1.985e+03,1.263e+04,7.862e+03,2.247e+04
85.7,1.692e+03,7.715e+03,5.685e+03,1.509e+04
86.9,1.402e+03,4.662e+03,4.009e+03,1.007e+04
88.1,1.240e+03,3.545e+03,2.512e+03,7.297e+03
89.3,1.334e+03,4.534e+03,2.597e+03,8.465e+03
90.5,1.955e+03,6.645e+03,2.832e+03,1.143e+04
91.7,2.092e+03,6.604e+03,2.483e+03,1.118e+04
92.9,3.016e+03,1.085e+04,2.529e+03,1.640e+04
94.1,5.750e+03,2.955e+04,3.187e+03,3.848e+04
95.3,7.464e+03,4.560e+04,4.136e+03,5.720e+04
96.6,3.585e+03,1.857e+04,3.117e+03,2.527e+04
97.8,2.209e+03,5.340e+03,2.405e+03,9.955e+03
99.0,2.455e+03,2.986e+03,2.438e+03,7.879e+03
100.2,2.814e+03,2.388e+03,2.374e+03,7.576e+03
101.4,2.539e+03,1.748e+03,2.363e+03,6.650e+03
102.6,2.585e+03,1.599e+03,2.514e+03,6.697e+03
103.8,3.287e+03,1.348e+03,2.621e+03,7.256e+03
105.0,2.520e+03,1.100e+03,2.074e+03,5.694e+03
106.2,3.421e+03,1.119e+03,2.010e+03,6.549e+03
107.4,3.169e+03,1.149e+03,1.890e+03,6.207e+03
108.6,2.906e+03,1.167e+03,1.704e+03,5.777e+03
109.8,3.657e+03,1.297e+03,1.482e+03,6.436e+03
111.0,4.844e+03,1.535e+03,1.700e+03,8.079e+03
112.2,4.584e+03,1.474e+03,1.610e+03,7.667e+03
113.4,6.611e+03,1.516e+03,1.628e+03,9.755e+03
114.7,7.026e+03,1.492e+03,1.596e+03,1.011e+04
115.9,6.062e+03,1.241e+03,1.561e+03,8.864e+03
117.1,5.256e+03,1.006e+03,1.636e+03,7.897e+03
118.3,5.257e+03,1.057e+03,1.559e+03,7.873e+03
119.5,4.452e+03,9.912e+02,1.489e+03,6.933e+03
120.7,6.679e+03,1.040e+03,1.448e+03,9.168e+03
121.9,6.731e+03,1.097e+03,1.433e+03,9.261e+03
123.1,5.929e+03,1.063e+03,1.517e+03,8.509e+03
124.3,8.103e+03,1.013e+03,1.542e+03,1.066e+04
125.5,8.007e+03,9.507e+02,1.587e+03,1.054e+04
126.7,8.553e+03,9.729e+02,1.790e+03,1.132e+04
127.9,1.109e+04,1.027e+03,1.850e+03,1.396e+04
129.1,8.724e+03,9.096e+02,1.662e+03,1.130e+04
130.3,1.090e+04,9.976e+02,1.618e+03,1.352e+04
131.6,8.867e+03,1.054e+03,1.609e+03,1.153e+04
132.8,4.698e+03,8.681e+02,1.438e+03,7.005e+03
134.0,2.301e+03,7.552e+02,1.376e+03,4.433e+03
135.2,2.047e+03,7.715e+02,1.391e+03,4.209e+03
136.4,2.316e+03,8.052e+02,1.652e+03,4.774e+03
137.6,2.020e+03,7.562e+02,1.578e+03,4.355e+03
138.8,1.521e+03,7.330e+02,1.395e+03,3.648e+03
140.0,1.558e+03,7.087e+02,1.395e+03,3.662e+03
141.2,1.627e+03,7.011e+02,1.473e+03,3.801e+03
142.4,1.561e+03,6.551e+02,1.538e+03,3.754e+03
143.6,1.518e+03,6.250e+02,1.445e+03,3.588e+03
144.8,1.110e+03,5.937e+02,1.503e+03,3.207e+03
146.0,1.291e+03,6.052e+02,1.470e+03,3.366e+03
147.2,1.821e+03,6.624e+02,1.531e+03,4.014e+03
148.4,1.733e+03,7.384e+02,1.588e+03,4.059e+03
149.7,1.567e+03,6.985e+02,1.439e+03,3.704e+03
150.9,1.142e+03,6.560e+02,1.491e+03,3.289e+03
152.1,1.551e+03,7.016e+02,1.519e+03,3.772e+03
153.3,1.844e+03,6.920e+02,1.517e+03,4.053e+03
154.5,1.724e+03,6.870e+02,1.568e+03,3.979e+03
155.7,1.899e+03,7.184e+02,1.465e+03,4.082e+03
156.9,1.614e+03,7.103e+02,1.457e+03,3.782e+03
158.1,1.445e+03,8.601e+02,1.428e+03,3.734e+03
159.3,1.423e+03,9.971e+02,1.549e+03,3.969e+03
160.5,1.362e+03,8.748e+02,1.484e+03,3.721e+03
161.7,1.319e+03,9.221e+02,1.432e+03,3.672e+03
162.9,1.311e+03,1.030e+03,1.344e+03,3.685e+03
164.1,1.277e+03,1.074e+03,1.359e+03,3.710e+03
165.3,1.600e+03,1.007e+03,1.482e+03,4.089e+03
166.6,1.745e+03,1.084e+03,1.499e+03,4.328e+03
167.8,1.488e+03,1.080e+03,1.434e+03,4.003e+03
169.0,1.425e+03,9.321e+02,1.464e+03,3.821e+03
170.2,1.524e+03,8.453e+02,1.357e+03,3.726e+03
171.4,1.707e+03,8.659e+02,1.344e+03,3.917e+03
172.6,1.864e+03,8.579e+02,1.295e+03,4.017e+03
173.8,1.756e+03,8.158e+02,1.170e+03,3.742e+03
175.0,1.651e+03,8.037e+02,1.217e+03,3.671e+03
176.2,1.714e+03,7.901e+02,1.339e+03,3.843e+03
177.4,1.939e+03,7.381e+02,1.406e+03,4.083e+03
178.6,2.380e+03,6.504e+02,1.284e+03,4.314e+03
179.8,2.207e+03,6.492e+02,1.233e+03,4.090e+03
181.0,2.539e+03,7.858e+02,1.203e+03,4.528e+03
182.2,3.102e+03,8.043e+02,1.203e+03,5.110e+03
183.4,2.565e+03,8.220e+02,1.225e+03,4.612e+03
184.7,2.376e+03,8.999e+02,1.125e+03,4.401e+03
185.9,2.151e+03,8.776e+02,1.115e+03,4.143e+03
187.1,2.778e+03,8.301e+02,1.075e+03,4.683e+03
188.3,2.866e+03,8.685e+02,1.016e+03,4.751e+03
189.5,2.378e+03,7.512e+02,1.063e+03,4.193e+03
190.7,2.581e+03,7.172e+02,1.028e+03,4.327e+03
191.9,2.571e+03,6.370e+02,1.014e+03,4.223e+03
193.1,3.380e+03,7.658e+02,1.033e+03,5.179e+03
194.3,2.171e+03,7.744e+02,9.007e+02,3.846e+03
195.5,2.391e+03,1.001e+03,8.768e+02,4.269e+03
196.7,2.245e+03,1.578e+03,1.095e+03,4.918e+03
197.9,1.920e+03,1.482e+03,1.144e+03,4.545e+03
199.1,1.513e+03,9.953e+02,9.693e+02,3.478e+03
