freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.540e+01,2.041e+01,1.433e+02,1.791e+02
1.2,7.130e+01,8.447e+01,2.403e+02,3.961e+02
2.4,8.502e+01,9.817e+01,1.947e+02,3.779e+02
3.7,8.851e+01,9.866e+01,2.454e+02,4.326e+02
4.9,1.929e+02,1.044e+02,8.402e+02,1.137e+03
6.1,3.455e+02,1.137e+02,1.214e+03,1.673e+03
7.3,2.190e+02,1.142e+02,1.431e+03,1.764e+03
8.5,1.695e+02,1.083e+02,1.861e+03,2.139e+03
9.7,1.127e+02,1.108e+02,2.390e+03,2.613e+03
11.0,9.330e+01,1.036e+02,3.223e+03,3.420e+03
12.2,1.035e+02,1.123e+02,3.862e+03,4.078e+03
13.4,9.964e+01,1.231e+02,4.701e+03,4.924e+03
14.6,9.405e+01,1.292e+02,5.497e+03,5.720e+03
15.8,8.863e+01,1.604e+02,6.444e+03,6.693e+03
17.1,9.197e+01,1.565e+02,7.803e+03,8.052e+03
18.3,9.783e+01,1.339e+02,9.493e+03,9.725e+03
19.5,1.086e+02,1.130e+02,1.115e+04,1.137e+04
20.7,1.039e+02,1.039e+02,1.228e+04,1.248e+04
21.9,9.777e+01,1.211e+02,1.303e+04,1.325e+04
23.2,1.111e+02,1.368e+02,1.417e+04,1.442e+04
24.4,1.149e+02,1.279e+02,1.573e+04,1.597e+04
25.6,1.221e+02,1.173e+02,1.732e+04,1.755e+04
26.8,1.112e+02,1.173e+02,1.965e+04,1.987e+04
28.0,1.180e+02,1.289e+02,2.115e+04,2.140e+04
29.2,1.224e+02,1.336e+02,2.212e+04,2.237e+04
30.5,1.095e+02,1.384e+02,2.406e+04,2.430e+04
31.7,1.149e+02,1.551e+02,2.557e+04,2.584e+04
32.9,1.309e+02,1.978e+02,2.561e+04,2.594e+04
34.1,1.318e+02,2.170e+02,2.398e+04,2.432e+04
35.3,1.385e+02,2.261e+02,2.494e+04,2.531e+04
36.6,1.185e+02,2.365e+02,2.716e+04,2.752e+04
37.8,1.285e+02,2.261e+02,3.026e+04,3.062e+04
39.0,1.339e+02,2.280e+02,3.262e+04,3.299e+04
40.2,1.363e+02,2.239e+02,3.392e+04,3.428e+04
41.4,1.610e+02,2.179e+02,3.309e+04,3.347e+04
42.6,1.632e+02,2.260e+02,3.684e+04,3.723e+04
43.9,1.817e+02,2.434e+02,4.279e+04,4.321e+04
45.1,2.321e+02,2.829e+02,5.008e+04,5.059e+04
46.3,2.451e+02,3.745e+02,5.755e+04,5.817e+04
47.5,2.489e+02,4.725e+02,6.786e+04,6.858e+04
48.7,2.649e+02,6.005e+02,8.055e+04,8.142e+04
50.0,3.741e+02,7.091e+02,9.465e+04,9.573e+04
51.2,7.135e+02,7.590e+02,1.062e+05,1.077e+05
52.4,8.592e+02,7.314e+02,1.062e+05,1.078e+05
53.6,6.644e+02,7.456e+02,1.089e+05,1.103e+05
54.8,6.432e+02,1.520e+03,1.542e+05,1.564e+05
56.1,8.921e+02,4.263e+03,2.439e+05,2.490e+05
57.3,1.371e+03,1.129e+04,4.279e+05,4.406e+05
58.5,2.421e+03,1.896e+04,6.741e+05,6.955e+05
59.7,3.769e+03,1.990e+04,8.432e+05,8.668e+05
60.9,4.854e+03,1.323e+04,8.498e+05,8.679e+05
62.1,4.806e+03,5.902e+03,6.768e+05,6.875e+05
63.4,3.573e+03,1.878e+03,4.404e+05,4.459e+05
64.6,2.536e+03,7.375e+02,2.194e+05,2.226e+05
65.8,5.162e+03,1.702e+03,7.704e+04,8.391e+04
67.0,1.920e+04,3.382e+03,2.117e+04,4.375e+04
68.2,3.253e+04,4.041e+03,8.229e+03,4.480e+04
69.5,3.234e+04,4.607e+03,1.735e+04,5.430e+04
70.7,3.003e+04,1.039e+04,4.145e+04,8.187e+04
71.9,2.793e+04,2.345e+04,5.219e+04,1.036e+05
73.1,3.046e+04,3.052e+04,4.727e+04,1.082e+05
74.3,4.386e+04,2.407e+04,6.537e+04,1.333e+05
75.6,5.453e+04,1.580e+04,8.577e+04,1.561e+05
76.8,4.191e+04,9.041e+03,1.004e+05,1.513e+05
78.0,2.727e+04,5.966e+03,1.364e+05,1.697e+05
79.2,1.465e+04,4.609e+03,1.766e+05,1.958e+05
80.4,5.710e+03,5.680e+03,1.907e+05,2.021e+05
81.6,1.716e+03,1.822e+04,1.686e+05,1.886e+05
82.9,1.332e+03,3.887e+04,1.549e+05,1.951e+05
84.1,1.144e+03,4.410e+04,1.746e+05,2.198e+05
85.3,1.439e+03,3.294e+04,1.671e+05,2.015e+05
86.5,1.882e+03,1.608e+04,1.264e+05,1.444e+05
87.7,1.776e+03,6.376e+03,9.731e+04,1.055e+05
89.0,1.764e+03,3.198e+03,8.510e+04,9.006e+04
90.2,1.999e+03,1.969e+03,7.672e+04,8.069e+04
91.4,2.484e+03,1.698e+03,7.191e+04,7.609e+04
92.6,2.844e+03,1.821e+03,6.596e+04,7.063e+04
93.8,2.579e+03,1.863e+03,5.640e+04,6.084e+04
95.0,1.467e+03,1.341e+03,4.303e+04,4.584e+04
96.3,1.394e+03,6.196e+02,2.900e+04,3.101e+04
97.5,2.111e+03,5.144e+02,2.183e+04,2.446e+04
98.7,1.751e+03,7.058e+02,2.463e+04,2.708e+04
99.9,1.167e+03,6.169e+02,2.709e+04,2.887e+04
101.1,8.753e+02,4.400e+02,2.803e+04,2.934e+04
102.4,8.586e+02,2.911e+02,2.695e+04,2.810e+04
103.6,9.639e+02,2.820e+02,2.828e+04,2.952e+04
104.8,8.491e+02,3.611e+02,2.910e+04,3.031e+04
106.0,6.908e+02,3.863e+02,2.585e+04,2.693e+04
107.2,1.321e+03,5.184e+02,2.236e+04,2.420e+04
108.5,1.477e+03,6.354e+02,2.164e+04,2.376e+04
109.7,2.731e+02,4.218e+02,1.607e+04,1.677e+04
110.9,1.473e+02,3.757e+02,1.291e+04,1.343e+04
112.1,1.601e+02,3.454e+02,1.077e+04,1.128e+04
113.3,1.905e+02,3.613e+02,9.262e+03,9.813e+03
114.5,2.259e+02,2.858e+02,8.387e+03,8.898e+03
115.8,3.226e+02,2.451e+02,7.565e+03,8.133e+03
117.0,5.100e+02,2.156e+02,6.630e+03,7.356e+03
118.2,7.064e+02,2.030e+02,5.886e+03,6.795e+03
119.4,8.179e+02,2.697e+02,5.612e+03,6.699e+03
120.6,8.002e+02,3.791e+02,5.318e+03,6.497e+03
121.9,5.703e+02,4.039e+02,4.990e+03,5.964e+03
123.1,2.770e+02,3.397e+02,4.716e+03,5.332e+03
124.3,1.712e+02,2.515e+02,3.866e+03,4.289e+03
125.5,1.278e+02,2.096e+02,3.228e+03,3.566e+03
126.7,1.138e+02,2.622e+02,3.135e+03,3.511e+03
127.9,1.126e+02,2.620e+02,2.851e+03,3.225e+03
129.2,1.100e+02,2.631e+02,2.518e+03,2.891e+03
130.4,1.252e+02,3.099e+02,2.005e+03,2.440e+03
131.6,1.851e+02,3.784e+02,1.658e+03,2.222e+03
