freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.795e+01,3.445e+01,1.372e+02,1.896e+02
1.2,7.003e+01,1.045e+02,1.965e+02,3.711e+02
2.4,8.900e+01,1.284e+02,1.856e+02,4.030e+02
3.7,9.920e+01,1.217e+02,2.419e+02,4.627e+02
4.9,1.271e+02,1.437e+02,9.662e+02,1.237e+03
6.1,2.539e+02,1.400e+02,1.476e+03,1.870e+03
7.3,2.244e+02,1.308e+02,1.283e+03,1.638e+03
8.5,1.857e+02,1.304e+02,1.759e+03,2.076e+03
9.7,1.416e+02,1.345e+02,2.342e+03,2.618e+03
11.0,9.946e+01,1.388e+02,3.012e+03,3.251e+03
12.2,9.140e+01,1.403e+02,3.775e+03,4.007e+03
13.4,9.016e+01,1.396e+02,4.619e+03,4.849e+03
14.6,9.100e+01,1.308e+02,5.343e+03,5.565e+03
15.8,9.495e+01,1.398e+02,6.408e+03,6.642e+03
17.1,9.459e+01,1.684e+02,7.654e+03,7.917e+03
18.3,8.667e+01,1.507e+02,9.190e+03,9.427e+03
19.5,8.408e+01,1.377e+02,1.100e+04,1.123e+04
20.7,9.293e+01,1.352e+02,1.266e+04,1.289e+04
21.9,1.030e+02,1.446e+02,1.361e+04,1.385e+04
23.2,1.092e+02,1.528e+02,1.507e+04,1.533e+04
24.4,1.174e+02,1.440e+02,1.612e+04,1.639e+04
25.6,1.299e+02,1.440e+02,1.741e+04,1.768e+04
26.8,1.466e+02,1.497e+02,2.045e+04,2.074e+04
28.0,1.389e+02,1.437e+02,2.243e+04,2.272e+04
29.2,1.542e+02,1.565e+02,2.383e+04,2.414e+04
30.5,1.559e+02,2.001e+02,2.719e+04,2.754e+04
31.7,1.420e+02,2.768e+02,3.095e+04,3.137e+04
32.9,1.461e+02,3.160e+02,3.395e+04,3.441e+04
34.1,1.799e+02,3.087e+02,3.503e+04,3.552e+04
35.3,2.193e+02,3.234e+02,3.975e+04,4.029e+04
36.6,2.373e+02,3.475e+02,4.736e+04,4.795e+04
37.8,2.532e+02,3.922e+02,5.814e+04,5.879e+04
39.0,2.998e+02,5.439e+02,6.878e+04,6.963e+04
40.2,2.712e+02,6.233e+02,6.198e+04,6.287e+04
41.4,1.913e+02,4.923e+02,4.594e+04,4.662e+04
42.6,2.336e+02,3.604e+02,4.900e+04,4.959e+04
43.9,3.029e+02,3.207e+02,6.160e+04,6.222e+04
45.1,3.951e+02,3.461e+02,7.570e+04,7.644e+04
46.3,5.562e+02,4.155e+02,9.443e+04,9.540e+04
47.5,7.541e+02,5.390e+02,1.192e+05,1.205e+05
48.7,9.987e+02,7.456e+02,1.510e+05,1.528e+05
50.0,1.390e+03,1.381e+03,1.909e+05,1.936e+05
51.2,1.814e+03,2.759e+03,2.281e+05,2.327e+05
52.4,2.109e+03,5.149e+03,2.444e+05,2.517e+05
53.6,2.393e+03,1.166e+04,2.578e+05,2.718e+05
54.8,3.161e+03,2.344e+04,3.355e+05,3.621e+05
56.1,4.095e+03,3.195e+04,4.180e+05,4.540e+05
57.3,4.499e+03,4.607e+04,4.568e+05,5.073e+05
58.5,3.918e+03,6.404e+04,4.756e+05,5.435e+05
59.7,2.786e+03,8.296e+04,5.328e+05,6.185e+05
60.9,2.044e+03,8.599e+04,5.536e+05,6.416e+05
62.1,1.820e+03,6.867e+04,4.640e+05,5.344e+05
63.4,4.326e+03,4.709e+04,3.320e+05,3.834e+05
64.6,1.559e+04,2.877e+04,2.143e+05,2.587e+05
65.8,2.907e+04,1.915e+04,1.635e+05,2.117e+05
67.0,2.987e+04,1.151e+04,1.138e+05,1.552e+05
68.2,2.602e+04,6.186e+03,6.633e+04,9.853e+04
69.5,2.140e+04,3.914e+03,3.347e+04,5.878e+04
70.7,1.740e+04,5.021e+03,1.415e+04,3.658e+04
71.9,9.648e+03,6.645e+03,5.646e+03,2.194e+04
73.1,3.418e+03,7.018e+03,3.500e+03,1.394e+04
74.3,2.822e+03,9.103e+03,6.206e+03,1.813e+04
75.5,3.807e+03,1.446e+04,1.381e+04,3.208e+04
76.8,4.237e+03,2.129e+04,3.306e+04,5.859e+04
78.0,3.007e+03,2.752e+04,7.863e+04,1.092e+05
79.2,2.292e+03,3.360e+04,1.600e+05,1.959e+05
80.4,3.501e+03,4.658e+04,2.052e+05,2.553e+05
81.6,5.184e+03,8.338e+04,1.958e+05,2.844e+05
82.9,4.734e+03,1.168e+05,2.261e+05,3.476e+05
84.1,2.813e+03,1.120e+05,2.475e+05,3.623e+05
85.3,1.239e+03,9.021e+04,2.353e+05,3.267e+05
86.5,6.174e+02,7.241e+04,2.054e+05,2.784e+05
87.7,1.609e+03,5.805e+04,1.579e+05,2.176e+05
89.0,5.084e+03,3.689e+04,1.088e+05,1.508e+05
90.2,8.596e+03,2.034e+04,8.722e+04,1.162e+05
91.4,4.504e+03,9.906e+03,7.979e+04,9.420e+04
92.6,7.674e+02,5.168e+03,6.666e+04,7.259e+04
93.8,2.942e+02,3.631e+03,4.737e+04,5.129e+04
95.0,3.108e+02,2.732e+03,3.314e+04,3.618e+04
96.3,3.857e+02,2.186e+03,2.431e+04,2.689e+04
97.5,4.155e+02,1.868e+03,2.101e+04,2.329e+04
98.7,3.988e+02,1.824e+03,2.029e+04,2.251e+04
99.9,3.671e+02,1.860e+03,1.872e+04,2.095e+04
101.1,3.692e+02,1.872e+03,1.621e+04,1.845e+04
102.4,4.755e+02,1.899e+03,1.412e+04,1.650e+04
103.6,6.153e+02,2.004e+03,1.187e+04,1.449e+04
104.8,7.168e+02,2.091e+03,9.630e+03,1.244e+04
106.0,9.398e+02,2.106e+03,7.606e+03,1.065e+04
107.2,1.160e+03,2.105e+03,6.144e+03,9.409e+03
108.4,1.576e+03,2.169e+03,5.241e+03,8.986e+03
109.7,2.102e+03,2.165e+03,5.391e+03,9.658e+03
110.9,2.859e+03,1.914e+03,6.285e+03,1.106e+04
112.1,3.303e+03,1.617e+03,8.425e+03,1.334e+04
113.3,3.013e+03,1.267e+03,1.110e+04,1.539e+04
114.5,2.658e+03,9.167e+02,1.341e+04,1.699e+04
115.8,2.474e+03,6.494e+02,1.523e+04,1.835e+04
117.0,2.175e+03,4.643e+02,1.474e+04,1.738e+04
118.2,1.824e+03,3.620e+02,1.301e+04,1.519e+04
119.4,1.123e+03,2.957e+02,1.046e+04,1.188e+04
120.6,6.423e+02,3.370e+02,7.975e+03,8.954e+03
121.9,5.073e+02,3.663e+02,5.721e+03,6.595e+03
123.1,4.988e+02,3.459e+02,5.403e+03,6.248e+03
124.3,4.621e+02,3.421e+02,5.150e+03,5.954e+03
125.5,4.315e+02,3.539e+02,4.503e+03,5.288e+03
126.7,3.818e+02,3.690e+02,4.089e+03,4.840e+03
127.9,3.370e+02,4.093e+02,3.489e+03,4.236e+03
129.2,3.341e+02,5.053e+02,3.095e+03,3.935e+03
130.4,3.465e+02,7.709e+02,2.804e+03,3.921e+03
131.6,3.491e+02,1.102e+03,2.304e+03,3.756e+03
132.8,2.681e+02,1.125e+03,1.873e+03,3.266e+03
134.0,2.514e+02,7.389e+02,1.184e+03,2.174e+03
135.3,2.431e+02,5.589e+02,9.368e+02,1.739e+03
136.5,2.185e+02,4.057e+02,9.109e+02,1.535e+03
137.7,2.239e+02,2.887e+02,9.246e+02,1.437e+03
138.9,2.525e+02,2.491e+02,8.223e+02,1.324e+03
140.1,2.933e+02,2.163e+02,7.397e+02,1.249e+03
141.3,3.357e+02,1.803e+02,7.330e+02,1.249e+03
142.6,3.432e+02,2.100e+02,6.966e+02,1.250e+03
143.8,3.121e+02,1.835e+02,6.824e+02,1.178e+03
145.0,3.082e+02,1.812e+02,6.674e+02,1.157e+03
146.2,3.459e+02,1.906e+02,5.580e+02,1.095e+03
147.4,4.701e+02,1.995e+02,6.373e+02,1.307e+03
148.7,5.477e+02,1.939e+02,7.078e+02,1.449e+03
149.9,5.406e+02,1.975e+02,7.306e+02,1.469e+03
151.1,4.422e+02,1.928e+02,7.668e+02,1.402e+03
152.3,3.178e+02,1.726e+02,7.220e+02,1.212e+03
153.5,2.599e+02,1.639e+02,7.823e+02,1.206e+03
154.8,2.294e+02,1.830e+02,7.698e+02,1.182e+03
156.0,2.066e+02,1.635e+02,7.167e+02,1.087e+03
157.2,1.972e+02,1.759e+02,7.515e+02,1.125e+03
158.4,1.913e+02,1.875e+02,6.727e+02,1.051e+03
159.6,1.818e+02,1.768e+02,6.503e+02,1.009e+03
160.8,1.562e+02,1.919e+02,6.550e+02,1.003e+03
162.1,1.477e+02,1.773e+02,7.405e+02,1.065e+03
163.3,1.322e+02,1.825e+02,1.008e+03,1.322e+03
164.5,1.260e+02,1.805e+02,1.366e+03,1.672e+03
165.7,1.316e+02,1.785e+02,1.145e+03,1.455e+03
166.9,1.222e+02,1.731e+02,9.285e+02,1.224e+03
168.2,1.176e+02,1.983e+02,1.157e+03,1.473e+03
169.4,1.286e+02,1.995e+02,1.766e+03,2.094e+03
170.6,1.581e+02,1.639e+02,2.251e+03,2.573e+03
171.8,1.793e+02,1.839e+02,3.058e+03,3.421e+03
173.0,2.067e+02,2.278e+02,3.424e+03,3.859e+03
174.3,2.199e+02,1.804e+02,3.264e+03,3.664e+03
175.5,2.571e+02,1.717e+02,3.136e+03,3.565e+03
176.7,2.717e+02,1.591e+02,2.460e+03,2.891e+03
177.9,2.840e+02,1.612e+02,2.104e+03,2.549e+03
179.1,2.953e+02,1.968e+02,1.654e+03,2.146e+03
180.3,3.196e+02,1.816e+02,1.242e+03,1.744e+03
181.6,2.407e+02,1.859e+02,8.113e+02,1.238e+03
182.8,1.959e+02,1.938e+02,5.197e+02,9.094e+02
184.0,1.934e+02,2.358e+02,4.610e+02,8.902e+02
185.2,1.619e+02,1.899e+02,4.778e+02,8.296e+02
186.4,1.990e+02,2.160e+02,5.439e+02,9.589e+02
187.7,2.391e+02,2.263e+02,6.092e+02,1.075e+03
188.9,2.612e+02,1.845e+02,6.089e+02,1.055e+03
190.1,2.511e+02,1.969e+02,7.574e+02,1.205e+03
191.3,2.214e+02,1.879e+02,7.545e+02,1.164e+03
192.5,2.435e+02,1.794e+02,7.725e+02,1.195e+03
193.7,2.426e+02,1.816e+02,9.022e+02,1.326e+03
195.0,1.961e+02,1.910e+02,1.146e+03,1.533e+03
196.2,1.654e+02,2.021e+02,1.167e+03,1.534e+03
197.4,1.510e+02,2.017e+02,1.070e+03,1.422e+03
198.6,1.389e+02,2.382e+02,1.176e+03,1.553e+03
199.8,1.291e+02,2.548e+02,1.030e+03,1.414e+03
