freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.570e+02,1.939e+01,3.114e+01,2.076e+02
1.2,2.236e+02,7.619e+01,1.392e+02,4.390e+02
2.4,1.680e+02,9.723e+01,1.623e+02,4.276e+02
3.7,2.038e+02,9.926e+01,1.616e+02,4.647e+02
4.9,7.085e+02,1.103e+02,1.882e+02,1.007e+03
6.1,1.450e+03,1.239e+02,1.969e+02,1.771e+03
7.3,1.768e+03,1.210e+02,2.267e+02,2.116e+03
8.5,2.393e+03,9.760e+01,2.200e+02,2.711e+03
9.7,3.168e+03,9.559e+01,1.859e+02,3.449e+03
11.0,4.058e+03,1.024e+02,1.599e+02,4.321e+03
12.2,4.992e+03,1.087e+02,1.903e+02,5.290e+03
13.4,5.950e+03,1.152e+02,2.310e+02,6.296e+03
14.6,6.914e+03,1.275e+02,2.165e+02,7.258e+03
15.8,8.100e+03,1.482e+02,2.075e+02,8.456e+03
17.1,9.315e+03,1.637e+02,2.114e+02,9.691e+03
18.3,1.076e+04,1.318e+02,2.100e+02,1.110e+04
19.5,1.227e+04,1.275e+02,2.000e+02,1.260e+04
20.7,1.420e+04,1.388e+02,1.959e+02,1.453e+04
21.9,1.571e+04,1.443e+02,2.153e+02,1.607e+04
23.1,1.777e+04,1.419e+02,2.197e+02,1.813e+04
24.4,1.964e+04,1.414e+02,2.254e+02,2.000e+04
25.6,2.138e+04,1.589e+02,2.092e+02,2.175e+04
26.8,2.353e+04,1.468e+02,2.276e+02,2.390e+04
28.0,2.571e+04,1.427e+02,2.124e+02,2.607e+04
29.2,2.795e+04,1.671e+02,1.977e+02,2.831e+04
30.5,3.402e+04,3.305e+02,2.255e+02,3.458e+04
31.7,3.999e+04,8.424e+02,2.419e+02,4.107e+04
32.9,3.088e+04,9.879e+02,2.775e+02,3.215e+04
34.1,2.341e+04,5.542e+02,2.534e+02,2.422e+04
35.3,2.849e+04,3.393e+02,2.448e+02,2.908e+04
36.5,3.485e+04,2.277e+02,2.663e+02,3.534e+04
37.8,4.013e+04,1.945e+02,2.352e+02,4.056e+04
39.0,4.426e+04,1.801e+02,2.178e+02,4.465e+04
40.2,4.771e+04,1.945e+02,2.335e+02,4.814e+04
41.4,5.002e+04,2.077e+02,2.638e+02,5.049e+04
42.6,5.595e+04,1.873e+02,2.539e+02,5.639e+04
43.9,6.243e+04,1.785e+02,2.215e+02,6.283e+04
45.1,6.294e+04,2.611e+02,2.300e+02,6.343e+04
46.3,6.382e+04,3.277e+02,2.573e+02,6.441e+04
47.5,6.872e+04,3.122e+02,2.762e+02,6.931e+04
48.7,7.428e+04,3.451e+02,2.563e+02,7.489e+04
50.0,8.035e+04,4.212e+02,2.446e+02,8.102e+04
51.2,8.351e+04,4.339e+02,2.690e+02,8.421e+04
52.4,8.075e+04,5.274e+02,2.882e+02,8.156e+04
53.6,7.812e+04,6.504e+02,2.687e+02,7.904e+04
54.8,9.571e+04,8.555e+02,2.947e+02,9.686e+04
56.0,1.142e+05,1.168e+03,3.518e+02,1.158e+05
57.3,1.354e+05,1.688e+03,5.987e+02,1.377e+05
58.5,1.582e+05,1.687e+03,1.025e+03,1.610e+05
59.7,1.905e+05,7.722e+02,1.040e+03,1.924e+05
60.9,2.372e+05,4.198e+02,6.100e+02,2.383e+05
62.1,3.064e+05,9.546e+02,6.081e+02,3.080e+05
63.4,4.378e+05,2.070e+03,2.841e+03,4.427e+05
64.6,5.072e+05,2.831e+03,4.364e+03,5.144e+05
65.8,7.684e+05,4.577e+03,5.795e+03,7.788e+05
67.0,6.419e+05,5.643e+03,3.828e+03,6.514e+05
68.2,3.686e+05,7.872e+03,2.058e+03,3.785e+05
69.4,2.487e+05,1.219e+04,2.695e+03,2.636e+05
70.7,2.443e+05,2.194e+04,4.890e+03,2.711e+05
71.9,2.895e+05,3.251e+04,7.753e+03,3.297e+05
73.1,2.442e+05,2.852e+04,7.641e+03,2.804e+05
74.3,1.677e+05,1.607e+04,4.646e+03,1.885e+05
75.5,1.202e+05,7.537e+03,2.070e+03,1.298e+05
76.8,7.786e+04,4.626e+03,9.735e+02,8.345e+04
78.0,4.005e+04,3.935e+03,6.373e+02,4.462e+04
79.2,1.714e+04,4.524e+03,7.225e+02,2.239e+04
80.4,7.044e+03,1.023e+04,9.576e+02,1.823e+04
81.6,6.242e+03,2.953e+04,1.373e+03,3.714e+04
82.8,7.928e+03,4.666e+04,4.152e+03,5.874e+04
84.1,4.824e+03,4.477e+04,1.230e+04,6.190e+04
85.3,3.101e+03,3.444e+04,1.754e+04,5.508e+04
86.5,2.617e+03,1.711e+04,1.230e+04,3.203e+04
87.7,4.751e+03,8.474e+03,7.257e+03,2.048e+04
88.9,1.159e+04,6.447e+03,5.810e+03,2.385e+04
90.2,2.185e+04,6.627e+03,5.691e+03,3.417e+04
91.4,2.562e+04,5.736e+03,3.089e+03,3.445e+04
92.6,2.104e+04,3.659e+03,6.859e+02,2.539e+04
93.8,1.274e+04,1.717e+03,7.315e+02,1.519e+04
95.0,5.459e+03,6.989e+02,1.450e+03,7.608e+03
96.2,3.220e+03,2.862e+02,2.499e+03,6.005e+03
97.5,3.560e+03,2.832e+02,3.232e+03,7.075e+03
98.7,2.301e+03,3.086e+02,2.423e+03,5.033e+03
99.9,2.030e+03,2.257e+02,1.778e+03,4.033e+03
101.1,3.029e+03,1.566e+02,1.530e+03,4.715e+03
102.3,4.439e+03,1.456e+02,2.172e+03,6.756e+03
103.6,5.113e+03,1.937e+02,2.983e+03,8.290e+03
104.8,5.265e+03,2.289e+02,2.601e+03,8.095e+03
106.0,7.130e+03,2.422e+02,2.224e+03,9.597e+03
107.2,1.206e+04,4.834e+02,6.539e+03,1.908e+04
108.4,1.402e+04,5.494e+02,7.683e+03,2.225e+04
109.6,1.417e+04,2.680e+02,1.281e+03,1.572e+04
110.9,1.657e+04,2.656e+02,4.954e+02,1.734e+04
112.1,1.327e+04,3.501e+02,3.890e+02,1.401e+04
113.3,8.612e+03,3.543e+02,4.073e+02,9.374e+03
114.5,8.822e+03,3.723e+02,5.369e+02,9.731e+03
115.7,1.337e+04,4.099e+02,6.936e+02,1.447e+04
117.0,1.925e+04,5.617e+02,7.472e+02,2.056e+04
118.2,2.033e+04,6.332e+02,8.042e+02,2.176e+04
119.4,1.489e+04,5.205e+02,6.988e+02,1.611e+04
120.6,9.967e+03,4.139e+02,5.237e+02,1.090e+04
121.8,7.523e+03,2.894e+02,4.075e+02,8.220e+03
123.0,7.293e+03,2.080e+02,3.716e+02,7.873e+03
124.3,9.117e+03,1.802e+02,3.677e+02,9.665e+03
125.5,1.031e+04,1.809e+02,4.641e+02,1.096e+04
126.7,1.069e+04,1.636e+02,5.403e+02,1.140e+04
127.9,1.142e+04,1.579e+02,4.852e+02,1.206e+04
129.1,1.199e+04,1.627e+02,4.269e+02,1.258e+04
130.4,1.366e+04,1.584e+02,4.661e+02,1.429e+04
131.6,1.406e+04,1.532e+02,4.668e+02,1.468e+04
132.8,8.521e+03,1.478e+02,3.752e+02,9.044e+03
134.0,1.560e+03,1.497e+02,2.903e+02,2.000e+03
135.2,7.012e+02,1.423e+02,2.739e+02,1.117e+03
136.5,5.556e+02,1.421e+02,2.690e+02,9.668e+02
137.7,4.896e+02,1.547e+02,2.730e+02,9.172e+02
138.9,5.221e+02,1.491e+02,2.858e+02,9.570e+02
140.1,4.786e+02,1.423e+02,3.371e+02,9.580e+02
141.3,4.103e+02,1.342e+02,5.298e+02,1.074e+03
142.5,4.323e+02,1.433e+02,6.897e+02,1.265e+03
143.8,4.141e+02,1.325e+02,6.193e+02,1.166e+03
145.0,4.019e+02,1.224e+02,5.065e+02,1.031e+03
146.2,3.335e+02,1.174e+02,4.247e+02,8.757e+02
147.4,3.100e+02,1.197e+02,3.563e+02,7.861e+02
148.6,2.683e+02,1.059e+02,2.889e+02,6.631e+02
149.9,2.794e+02,9.946e+01,2.559e+02,6.348e+02
151.1,3.263e+02,9.425e+01,2.664e+02,6.869e+02
152.3,3.061e+02,8.810e+01,2.851e+02,6.792e+02
153.5,3.153e+02,9.619e+01,2.708e+02,6.823e+02
154.7,3.377e+02,1.011e+02,2.753e+02,7.141e+02
155.9,4.311e+02,9.326e+01,2.680e+02,7.923e+02
157.2,6.028e+02,1.007e+02,3.039e+02,1.007e+03
158.4,7.566e+02,1.062e+02,3.829e+02,1.246e+03
159.6,8.960e+02,1.201e+02,4.221e+02,1.438e+03
160.8,9.683e+02,1.236e+02,3.876e+02,1.479e+03
162.0,1.166e+03,1.220e+02,4.185e+02,1.707e+03
163.3,1.209e+03,1.320e+02,4.060e+02,1.747e+03
164.5,1.161e+03,1.306e+02,3.940e+02,1.686e+03
165.7,1.195e+03,1.245e+02,4.110e+02,1.730e+03
166.9,1.244e+03,1.124e+02,4.178e+02,1.774e+03
