freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.068e+01,2.533e+01,5.785e+01,1.639e+02
1.2,1.862e+02,1.217e+02,2.524e+02,5.602e+02
2.4,1.987e+02,1.399e+02,2.816e+02,6.201e+02
3.7,2.060e+02,1.490e+02,3.135e+02,6.685e+02
4.9,7.179e+02,1.529e+02,3.234e+02,1.194e+03
6.1,1.590e+03,1.781e+02,3.637e+02,2.132e+03
7.3,1.835e+03,1.953e+02,3.468e+02,2.377e+03
8.5,2.527e+03,1.557e+02,2.695e+02,2.952e+03
9.7,3.129e+03,1.402e+02,2.580e+02,3.527e+03
11.0,3.847e+03,1.540e+02,2.859e+02,4.287e+03
12.2,4.619e+03,1.548e+02,2.658e+02,5.039e+03
13.4,5.535e+03,1.502e+02,2.871e+02,5.972e+03
14.6,6.470e+03,1.687e+02,2.958e+02,6.935e+03
15.8,7.405e+03,1.753e+02,2.817e+02,7.862e+03
17.1,8.286e+03,1.528e+02,2.695e+02,8.709e+03
18.3,9.461e+03,1.426e+02,2.528e+02,9.857e+03
19.5,1.042e+04,1.544e+02,2.557e+02,1.083e+04
20.7,1.153e+04,1.406e+02,2.364e+02,1.191e+04
21.9,1.261e+04,1.505e+02,2.368e+02,1.300e+04
23.1,1.424e+04,1.669e+02,2.529e+02,1.466e+04
24.4,1.560e+04,1.618e+02,2.634e+02,1.603e+04
25.6,1.701e+04,1.628e+02,2.557e+02,1.743e+04
26.8,1.851e+04,1.576e+02,2.331e+02,1.890e+04
28.0,1.918e+04,1.619e+02,2.380e+02,1.958e+04
29.2,2.019e+04,1.544e+02,2.513e+02,2.060e+04
30.5,2.364e+04,1.707e+02,2.427e+02,2.405e+04
31.7,2.735e+04,1.990e+02,2.175e+02,2.777e+04
32.9,2.557e+04,2.190e+02,2.363e+02,2.602e+04
34.1,1.707e+04,2.493e+02,2.602e+02,1.758e+04
35.3,2.013e+04,2.968e+02,2.715e+02,2.069e+04
36.5,2.438e+04,3.035e+02,2.458e+02,2.493e+04
37.8,2.808e+04,3.950e+02,2.345e+02,2.871e+04
39.0,2.980e+04,4.296e+02,2.655e+02,3.050e+04
40.2,2.796e+04,4.223e+02,2.818e+02,2.866e+04
